"PVWatts: Hourly PV Performance Data"
"Requested Location:","Arcata, CA"
"Location:","Lat, Lon: 40.85, -124.1"
"Lat (deg N):","40.85"
"Long (deg W):","124.1"
"Elev (m):","0"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.156"
"Capacity Factor (%)","14.6"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","3","3","0","3","0","0"
"1","1","1","0","0","3","4","0","3","0","0"
"1","1","2","0","0","3","4","0","3","0","0"
"1","1","3","0","0","3","4","0","3","0","0"
"1","1","4","0","0","3","4","0","3","0","0"
"1","1","5","0","0","3","3","0","3","0","0"
"1","1","6","0","0","4","3","0","4","0","0"
"1","1","7","0","0","4","2","0","4","0","0"
"1","1","8","532","31","5","2","219.704","9.026","712.765","677.177"
"1","1","9","75","101","7","3","146.415","9.385","532.511","501.209"
"1","1","10","850","57","8","3","608.429","21.397","2083.503","2005.449"
"1","1","11","896","60","8","2","709.828","27.271","2386.463","2296.666"
"1","1","12","910","60","9","2","737.688","29.274","2460.792","2367.984"
"1","1","13","893","58","10","3","688.361","26.744","2315.639","2228.663"
"1","1","14","839","52","10","3","564.751","23.717","1901.337","1829.933"
"1","1","15","720","42","9","3","381.726","18.053","1267.91","1217.227"
"1","1","16","415","21","7","3","146.614","9.839","452.667","423.166"
"1","1","17","0","0","7","2","0","7","0","0"
"1","1","18","0","0","6","2","0","6","0","0"
"1","1","19","0","0","6","1","0","6","0","0"
"1","1","20","0","0","6","1","0","6","0","0"
"1","1","21","0","0","6","1","0","6","0","0"
"1","1","22","0","0","6","1","0","6","0","0"
"1","1","23","0","0","6","1","0","6","0","0"
"1","2","0","0","0","5","1","0","5","0","0"
"1","2","1","0","0","5","1","0","5","0","0"
"1","2","2","0","0","5","2","0","5","0","0"
"1","2","3","0","0","5","2","0","5","0","0"
"1","2","4","0","0","6","2","0","6","0","0"
"1","2","5","0","0","6","1","0","6","0","0"
"1","2","6","0","0","6","1","0","6","0","0"
"1","2","7","0","0","6","2","0","6","0","0"
